flow	severity	file	line	function	status	description	confidence	timestamp
smoke-prod	OK	-	-	-	pass	smoke:health — Server healthy (HTTP 200)	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:players_returns_data — Returns 200 players	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:position_filter_qb — All 50 checked are QBs	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:position_filter_wr — All 50 checked are WRs	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:sort_ppr_desc — PPR sort descending is correct	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:season_switch — Different seasons return different data	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:week_filter — Week filter OK: season=21gp, week1=1gp	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:screener_query — Screener returns 10 RBs, all correct	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:no_nan_stats — No NaN/Inf in first 50 players	100	2026-03-20T12:12
smoke-prod	OK	-	-	-	pass	smoke:filter_options — Returns positions and teams	100	2026-03-20T12:12
1	P0	backend/server.py	-	GZipMiddleware	ticket	FUNC-001: Double compression (GZip+Cloudflare Brotli) breaks Lab init — filter-options returns gzip bytes as JSON	100	2026-03-20T12:20
1	P0	frontend/lab.js	2877	populateSeasonSelect	ticket	FUNC-001 cascade: #seasonSelect null crash during init because filter-options failed	100	2026-03-20T12:20
1	P0	-	-	-	ticket	FUNC-001 cascade: Page crash — Cannot read properties of null (reading classList)	100	2026-03-20T12:20
1	OK	-	-	-	pass	Landing page loads clean — 0 JS errors, tiger mascot, live data widget, CTAs work	100	2026-03-20T12:10
2	OK	-	-	-	pass	Position filter: QB/RB/WR/TE all return only correct position (50 each verified)	100	2026-03-20T12:16
3	OK	-	-	-	pass	Multi-filter: RB + 800+ rush yds returns 27 players, all correct	100	2026-03-20T12:16
4	OK	-	-	-	pass	Sort: PPR desc correct (McCaffrey 458.4 > Puka 452.6 > Maye 416.9). Asc correct too.	100	2026-03-20T12:17
5	P1	backend/live_data/players.py	131	fetch_players	ticket	FUNC-002: Search fails for hyphens/apostrophes — Amon-Ra, Ja'Marr, D'Andre all return 0	100	2026-03-20T12:18
6	OK	-	-	-	pass	Season switch: 2025/2024/2023 return different top players and different counts	100	2026-03-20T12:19
7	OK	-	-	-	pass	Week filter: screener POST with week=1 returns 1 game per player (production)	100	2026-03-20T12:19
18	OK	-	-	-	pass	Dynasty rankings: correct order (young elite WRs/RBs at top, age-adjusted)	90	2026-03-20T12:21
18	P2	backend/live_data/dynasty.py	-	dynasty_value	ticket	FUNC-003: Top 7 players all at 100.0 dynasty value — ceiling clustering reduces usefulness	80	2026-03-20T12:21
19	OK	-	-	-	pass	Trade values: order sensible, same clustering issue as dynasty rankings	90	2026-03-20T12:21
20	OK	-	-	-	pass	Trade finder: buy low/sell high suggestions reasonable (Jeanty, Hampton as buy targets)	90	2026-03-20T12:22
32	OK	-	-	-	pass	Target share: per-team sums 89-93% (expected — top 8 players don't capture all)	90	2026-03-20T12:23
36	OK	-	-	-	pass	Efficiency metrics: 0 NaN/Inf in 200 players checked — division-by-zero guards work	100	2026-03-20T12:23
smoke	OK	-	-	-	pass	smoke:health — Server healthy (HTTP 200)
smoke	OK	-	-	-	pass	smoke:players_returns_data — Returns 200 players
smoke	OK	-	-	-	pass	smoke:position_filter_qb — All 50 checked are QBs
smoke	OK	-	-	-	pass	smoke:position_filter_wr — All 50 checked are WRs
smoke	OK	-	-	-	pass	smoke:sort_ppr_desc — PPR sort descending is correct
smoke	OK	-	-	-	pass	smoke:season_switch — Different seasons return different data
smoke	P0	backend/live_data/players.py	-	_fetch_screener_uncached	ticket	smoke:week_filter — Week 1 player has 21 games — week filter not working
smoke	OK	-	-	-	pass	smoke:screener_query — Screener returns 10 RBs, all correct
smoke	OK	-	-	-	pass	smoke:no_nan_stats — No NaN/Inf in first 50 players
smoke	OK	-	-	-	pass	smoke:no_negative_stats — No impossible negative values
smoke	OK	-	-	-	pass	smoke:filter_options — Returns positions and teams
smoke	OK	-	-	-	pass	smoke:health — Server healthy (HTTP 200)
smoke	OK	-	-	-	pass	smoke:players_returns_data — Returns 200 players
smoke	OK	-	-	-	pass	smoke:position_filter_qb — All 50 checked are QBs
smoke	OK	-	-	-	pass	smoke:position_filter_wr — All 50 checked are WRs
smoke	OK	-	-	-	pass	smoke:sort_ppr_desc — PPR sort descending is correct
smoke	OK	-	-	-	pass	smoke:season_switch — Different seasons return different data
smoke	P0	backend/live_data/players.py	-	_fetch_screener_uncached	ticket	smoke:week_filter — Week 1 player has 21 games — week filter not working
smoke	OK	-	-	-	pass	smoke:screener_query — Screener returns 10 RBs, all correct
smoke	OK	-	-	-	pass	smoke:no_nan_stats — No NaN/Inf in first 50 players
smoke	OK	-	-	-	pass	smoke:no_negative_stats — No impossible negative values
smoke	OK	-	-	-	pass	smoke:filter_options — Returns positions and teams
8	OK	-	-	-	pass	Universe toggle: college endpoint returns real college data (Ward 4111yd, Jeanty 2495yd)	95	2026-03-20T12:45
8	OK	-	-	-	pass	Universe toggle: separate endpoints /api/college/players and /api/prospects used correctly	100	2026-03-20T12:45
8	OK	-	-	-	pass	Universe toggle: NFL_ONLY_PANELS (45 panels) hidden in college mode, COLLEGE_ONLY_PANELS in NFL mode	100	2026-03-20T12:45
8	P2	backend/live_data/prospects.py	-	fetch_prospects	info	Prospects 2026: all 319 have draft_pick=null (expected — draft hasn't happened), sort=alphabetical	70	2026-03-20T12:45
8	BLOCKED	-	-	-	info	UI toggle untestable — FUNC-001 prevents Lab rendering on both local and production	100	2026-03-20T12:45
9	OK	-	-	-	pass	Column picker: 87 NFL columns, 8 presets, all preset keys valid in COLUMNS	100	2026-03-20T12:55
9	OK	-	-	-	pass	Column picker: URL serialization per-universe (NFL/College/Prospects separate state)	100	2026-03-20T12:55
9	OK	-	-	-	pass	Column picker: API returns 106 fields per player — all columns have data	100	2026-03-20T12:55
9	BLOCKED	-	-	-	info	Column picker UI interaction untestable — FUNC-001 prevents Lab rendering	100	2026-03-20T12:55
11	OK	-	-	-	pass	Pagination: 25/page, no overlap, sort correct across pages (PPR desc: 458>183>170>94)	100	2026-03-20T13:00
11	OK	-	-	-	pass	Pagination: beyond total returns empty, alt sort (rush_yds) persists across pages	100	2026-03-20T13:00
